"ArticleTitle","Summary","Link","Timestamp","Category","Keyword","ArticleStory"
"Shimon Peres, Nobel winner and giant of Israeli politics, dies at 93"," Leading political figure served twice as prime minister, once as president and won Nobel peace prize    Follow global reaction to death of a defining political figure     Shimon Peres , one of Israel s defining political figures and a Nobel peace prize laureate, has died at the age of 93,  two weeks after having a stroke .  Peres had twice served as prime minister of Israel and later as the country s ninth president. He had been seriously ill on a respirator in an Israeli hospital near Tel Aviv and died after his condition deteriorated sharply.    Continue reading... ","https://www.theguardian.com/world/2016/sep/28/shimon-peres-former-israeli-leader-dies","Wed, 28 Sep 2016 08:24:10 GMT","Shimon Peres",""," "
"Donald Trump boasts after first debate against Clinton: 'I didn't want to embarrass her'"," Insisting every poll showed him as the winner, Republican nominee blasts  corrupt media  and recounts what he felt were his best lines  Donald Trump has told a crowd of 7,500 that he was holding back during the  first presidential debate with Hillary Clinton  because he did not want to embarrass her.  He insisted that every poll showed him winning the debates but cited only internet surveys to prove this; every scientific poll taken in the aftermath of the debate showed a majority of viewers believing the Democratic nominee had won.     Continue reading... ","https://www.theguardian.com/us-news/2016/sep/27/donald-trump-hillary-clinton-first-debate-winner","Wed, 28 Sep 2016 06:36:39 GMT","Donald Trump",""," "
"Amnesty calls off launch of Thai torture report after police warning"," Rights group was told staff could be arrested over visas if public launch of report accusing soldiers and police went ahead  Amnesty International has cancelled the public launch of a report on torture in Thailand after police in Bangkok warned the rights group that its representatives might be arrested and prosecuted for visa violations.  The  report  accuses Thai soldiers and police of torture, including of suspected insurgents, government opponents, alleged drug users and members of ethnic minorities.    Continue reading... ","https://www.theguardian.com/world/2016/sep/28/amnesty-thailand-torture-report-launch-cancelled-police-warning","Wed, 28 Sep 2016 07:37:03 GMT","Thailand",""," "
"MH17 investigators to pinpoint missile launch in rebel-held Ukraine"," Report expected to say Buk missile was fired from separatist-held area in Ukraine and its launcher smuggled back to Russia  An international criminal investigation into the shooting down of  flight MH17  is likely to conclude that the plane was downed by a Buk missile fired from separatist-controlled territory in eastern Ukraine, diplomats say.   The  Dutch-led Joint Investigation Team  (JIT) has been gathering evidence for a possible criminal trial and is due to present its interim findings on Wednesday. Dutch police and prosecutors have been working with judicial colleagues from Australia, Belgium, Malaysia and Ukraine.   Continue reading... ","https://www.theguardian.com/world/2016/sep/27/mh17-inquiry-missile-launch-buk-ukraine-russia","Tue, 27 Sep 2016 14:00:37 GMT","Malaysia Airlines flight MH17",""," "
"Police killing of unarmed black man in San Diego sparks protest"," Police say man pulled an object from his pocket, pointed it at officers and assumed a  shooting stance   Police in suburban San Diego have shot and killed an unarmed black man who they say pulled an object from his pocket, pointed it at officers and assumed a  shooting stance .    One officer tried and failed to subdue the unidentified man with a stun gun before a second officer fired several times, said the El Cajon police chief, Jeff Davis. Davis would not say what the object was, but acknowledged it was not a weapon.     Continue reading... ","https://www.theguardian.com/us-news/2016/sep/28/police-killing-black-man-el-cajon-san-diego-protest","Wed, 28 Sep 2016 08:30:02 GMT","San Diego",""," "
"World's first baby born from new procedure using DNA of three people"," Experts welcome news of successful mitochondrial transfer but caution against operating in countries beyond regulations  The world s first baby to be born from a new procedure that combines the DNA of three people appears to be healthy, according to doctors in the US who oversaw the treatment.  The baby was born on 6 April after his Jordanian parents travelled to Mexico where they were cared for by US fertility specialists.    Continue reading... ","https://www.theguardian.com/science/2016/sep/27/worlds-first-baby-born-using-dna-from-three-parents","Tue, 27 Sep 2016 16:12:05 GMT","Reproduction",""," "
"France urged to house children living alone in Calais camp"," Children s commissioners call on French government to rescue 1,000 asylum-seeking children as a matter of urgency   The children s commissioners for England and France have called on the French government to identify, register and house the 1,000 lone asylum-seeking children who are living in dire conditions in the Calais camp,  as a matter of urgency  before the site is demolished.  After President Fran ois Hollande announced that the refugee camp would be shut down and asylum seekers moved to official centres around the country, charities said they were concerned about the safety of the unaccompanied child refugees, who make up about 10% of the camp population.   Continue reading... ","https://www.theguardian.com/world/2016/sep/27/register-and-house-children-living-in-calais-camp-on-their-own-france-told","Tue, 27 Sep 2016 17:12:52 GMT","Calais",""," "
"Syrian troops launch ground offensive against Aleppo rebels"," Forces loyal to Bashar al-Assad advance on the old city, two other districts and a strategically sited former refugee camp  Syrian troops have launched a large-scale ground attack on rebel-held areas of Aleppo in a bid to make concrete military gains after nearly a week of punitive bombardment that has mostly hit civilians.  Forces loyal to President Bashar al-Assad opened multiple fronts in an apparent attempt to increase pressure on rebel forces experienced in close urban warfare.    Continue reading... ","https://www.theguardian.com/world/2016/sep/27/syrian-troops-launch-ground-offensive-against-aleppo-rebels","Tue, 27 Sep 2016 18:43:00 GMT","Syria",""," "
"Panama Papers: European parliament opens inquiry"," In first evidence session, 65-member panel hears from journalists involved in breaking the story of the Mossack Fonseca data leak  The role of UK tax havens in facilitating financial crime came under scrutiny as the European parliament opened its 10-month inquiry into the  Panama Papers scandal .  At the inquiry s  first evidence session  in Brussels, the 65-member panel heard from journalists at some of the media organisations that broke the story in April.    Continue reading... ","https://www.theguardian.com/world/2016/sep/27/panama-papers-inquiry-opens-at-european-parliament","Tue, 27 Sep 2016 17:51:03 GMT","Tax havens",""," "
"RBS pays  846m fine to US regulator for role in 2008 banking crisis"," Settlement is first of three penalties expected to be handed down to Royal Bank of Scotland by US authorities  Royal Bank of Scotland is to pay $1.1bn ( 846m) to a US regulator to resolve allegations it missold mortgage bonds to credit unions in the run up to the 2008 banking crisis.  The settlement with the National Credit Union Administration (NCUA) board is one of three major issues facing the bailed-out bank relating to the way it sold so-called residential-mortgage-backed securities (RMBS) before its  45bn taxpayer bailout.   Continue reading... ","https://www.theguardian.com/business/2016/sep/28/rbs-pays-846m-fine-us-regulator-role-2008-banking-crisis","Tue, 27 Sep 2016 23:46:25 GMT","Royal Bank of Scotland",""," "
